ankleiden;0,423;0,462;0,462;0,231;0,462;0,538;0,231;0,538;0,385;0,462;
abwaschen;0,671;0,532;0,500;0,655;0,409;0,654;0,656;0,592;0,682;0,671;
toilette;0,445;0,375;0,375;0,125;0,500;0,445;0,375;0,552;0,250;0,554;
essen;0,910;0,813;0,868;0,866;0,897;0,895;0,901;0,887;0,910;0,910;
schlafenabends;0,457;0,171;0,171;0,571;0,457;0,457;0,429;0;0,457;0,429;
duschen;0,500;0,439;0,205;0,300;0,205;0,300;0,600;0,300;0,300;0,300;
hinsetzen;0;0;0;0;0;0;0;0;0;0;
arbeiten;0,928;0,851;0,895;0,893;0,928;0,916;0,928;0,911;0,928;0,928;
schlafenmorgends;0,737;0,526;0,368;0,800;0,789;0,789;0,684;0,695;0,789;0,737;
kaffekochen;0,783;0,661;0,741;0,717;0,744;0,752;0,752;0,721;0,783;0,696;
fernsehen;0,500;0,605;0,500;0,500;0,500;0,600;0,500;0,500;0,400;0,500;
touchtisch;0,538;0,457;0,408;0,442;0,516;0,516;0,517;0,386;0,574;0,538;
Cluster Anzahl;61;58;58;63;52;66;61;57;56;58;